r_circ mass j/j_circ snap omega_e omega_e1 omega_l alpha mu mean_morph mean_morphf mask_morph
rc25 M2.5e+07 L0.30 SNAP030 0.8170327544212341 0.2812434732913971 0.48219752311706543 0.2812434732913971 1.71451997756958 0.19328273832798004 0.29487860202789307 0.3145512342453003
rc25 M2.5e+07 L0.30 SNAP040 1.0893770456314087 0.2812434732913971 0.6429300308227539 0.2812434732913971 2.2860264778137207 0.1959724873304367 0.2802339196205139 0.33309972286224365
rc25 M2.5e+07 L0.30 SNAP050 1.3617212772369385 0.2812434732913971 0.8036625385284424 0.2812434732913971 2.8575332164764404 0.2866984009742737 0.36530596017837524 0.3752654790878296
rc25 M2.5e+07 L0.30 SNAP060 1.6340655088424683 0.2812434732913971 0.9643950462341309 0.2812434732913971 3.429039716720581 0.3138819634914398 0.35257667303085327 0.4121384918689728
rc25 M2.5e+07 L0.30 SNAP070 1.906409740447998 0.2812434732913971 1.1251275539398193 0.2812434732913971 4.000546455383301 0.30543747544288635 0.3505958616733551 0.3979445695877075
rc25 M2.5e+07 L0.30 SNAP080 2.1787540912628174 0.2812434732913971 1.2858600616455078 0.2812434732913971 4.572052955627441 0.35223647952079773 0.4422948658466339 0.3963667154312134
rc25 M2.5e+07 L0.40 SNAP030 0.8813257813453674 0.38745445013046265 0.4550219178199768 0.38745445013046265 1.1743881702423096 0.14494433999061584 0.254551500082016 0.2957928776741028
rc25 M2.5e+07 L0.40 SNAP040 1.1751010417938232 0.38745445013046265 0.6066958904266357 0.38745445013046265 1.5658509731292725 0.24586741626262665 0.32355305552482605 0.340660959482193
rc25 M2.5e+07 L0.40 SNAP050 1.4688763618469238 0.38745445013046265 0.7583698630332947 0.38745445013046265 1.9573136568069458 0.26047855615615845 0.34104207158088684 0.36755120754241943
rc25 M2.5e+07 L0.40 SNAP060 1.7626515626907349 0.38745445013046265 0.9100438356399536 0.38745445013046265 2.348776340484619 0.27490344643592834 0.32605695724487305 0.3750621974468231
rc25 M2.5e+07 L0.40 SNAP070 2.056426763534546 0.38745445013046265 1.0617178678512573 0.38745445013046265 2.740239143371582 0.3101600110530853 0.38332265615463257 0.38948601484298706
rc25 M2.5e+07 L0.40 SNAP080 2.3502020835876465 0.38745445013046265 1.2133917808532715 0.38745445013046265 3.131701946258545 0.3516066372394562 0.42884448170661926 0.43097126483917236
rc25 M2.5e+07 L0.50 SNAP030 0.9265015721321106 0.5054652094841003 0.42852121591567993 0.5054652094841003 0.8477758765220642 0.12172644585371017 0.2438812404870987 0.2564747929573059
rc25 M2.5e+07 L0.50 SNAP040 1.235335350036621 0.5054652094841003 0.5713616013526917 0.5054652094841003 1.1303678750991821 0.19519220292568207 0.3062146008014679 0.3006709814071655
rc25 M2.5e+07 L0.50 SNAP050 1.544169306755066 0.5054652094841003 0.7142020463943481 0.5054652094841003 1.4129598140716553 0.23658762872219086 0.3276461064815521 0.33970704674720764
rc25 M2.5e+07 L0.50 SNAP060 1.8530031442642212 0.5054652094841003 0.8570424318313599 0.5054652094841003 1.6955517530441284 0.2644183039665222 0.3381519615650177 0.3695601224899292
rc25 M2.5e+07 L0.50 SNAP070 2.161836862564087 0.5054652094841003 0.9998828172683716 0.5054652094841003 1.9781436920166016 0.2624462842941284 0.33789265155792236 0.3636282682418823
rc25 M2.5e+07 L0.50 SNAP080 2.4706709384918213 0.5054652094841003 1.1427232027053833 0.5054652094841003 2.2607357501983643 0.30274951457977295 0.37053465843200684 0.3879585564136505
rc25 M2.5e+07 L0.60 SNAP030 0.9551038146018982 0.640670895576477 0.4040236175060272 0.640670895576477 0.63062584400177 0.10241260379552841 0.2248290777206421 0.21774400770664215
rc25 M2.5e+07 L0.60 SNAP040 1.273471713066101 0.640670895576477 0.538698136806488 0.640670895576477 0.8408344388008118 0.13084174692630768 0.2396087944507599 0.221891850233078
rc25 M2.5e+07 L0.60 SNAP050 1.5918396711349487 0.640670895576477 0.6733726859092712 0.640670895576477 1.0510430335998535 0.17011840641498566 0.2574123740196228 0.26187875866889954
rc25 M2.5e+07 L0.60 SNAP060 1.9102076292037964 0.640670895576477 0.8080472350120544 0.640670895576477 1.26125168800354 0.21792444586753845 0.2951831519603729 0.3233940303325653
rc25 M2.5e+07 L0.60 SNAP070 2.2285757064819336 0.640670895576477 0.9427217841148376 0.640670895576477 1.471460223197937 0.24880394339561462 0.34776613116264343 0.35691243410110474
rc25 M2.5e+07 L0.60 SNAP080 2.546943426132202 0.640670895576477 1.077396273612976 0.640670895576477 1.6816688776016235 0.2846069633960724 0.36976301670074463 0.3608691692352295
rc25 M2.5e+07 L0.70 SNAP030 0.9718708992004395 0.8018173575401306 0.38050517439842224 0.8018173575401306 0.4745534360408783 0.09289263188838959 0.22421027719974518 0.20233505964279175
rc25 M2.5e+07 L0.70 SNAP040 1.295827865600586 0.8018173575401306 0.5073402523994446 0.8018173575401306 0.632737934589386 0.12630222737789154 0.232107475399971 0.21215052902698517
rc25 M2.5e+07 L0.70 SNAP050 1.6197848320007324 0.8018173575401306 0.6341753005981445 0.8018173575401306 0.7909224033355713 0.1509585678577423 0.24726903438568115 0.2428085058927536
rc25 M2.5e+07 L0.70 SNAP060 1.9437416791915894 0.8018173575401306 0.7610103487968445 0.8018173575401306 0.9491068720817566 0.188508540391922 0.2779461145401001 0.29271331429481506
rc25 M2.5e+07 L0.70 SNAP070 2.2676987648010254 0.8018173575401306 0.8878453969955444 0.8018173575401306 1.107291340827942 0.2126207947731018 0.3073561489582062 0.2983894944190979
rc25 M2.5e+07 L0.70 SNAP080 2.591655731201172 0.8018173575401306 1.0146805047988892 0.8018173575401306 1.265475869178772 0.2412457913160324 0.3109487295150757 0.30668580532073975
rc25 M2.5e+07 L0.80 SNAP030 0.9800727367401123 0.9800727367401123 0.3571794033050537 1.005394458770752 0.36444172263145447 0.070309579372406 0.2022717446088791 0.15484003722667694
rc25 M2.5e+07 L0.80 SNAP040 1.3067636489868164 1.005394458770752 0.4762392044067383 1.005394458770752 0.4736839532852173 0.10537539422512054 0.20620465278625488 0.1866203099489212
rc25 M2.5e+07 L0.80 SNAP050 1.6334545612335205 1.005394458770752 0.5952990055084229 1.005394458770752 0.5921049118041992 0.1084391176700592 0.2139771431684494 0.17148615419864655
rc25 M2.5e+07 L0.80 SNAP060 1.9601454734802246 1.005394458770752 0.7143588066101074 1.005394458770752 0.7105259299278259 0.1419226974248886 0.2160562127828598 0.21076872944831848
rc25 M2.5e+07 L0.80 SNAP070 2.2868363857269287 1.005394458770752 0.833418607711792 1.005394458770752 0.8289468884468079 0.18057368695735931 0.25891491770744324 0.2498389333486557
rc25 M2.5e+07 L0.80 SNAP080 2.613527297973633 1.005394458770752 0.9524784088134766 1.005394458770752 0.9473679065704346 0.18525101244449615 0.2754670977592468 0.26312607526779175
rc25 M2.5e+07 L0.90 SNAP030 0.9765000939369202 0.9765000939369202 0.332332044839859 1.2922148704528809 0.34032976627349854 0.08463899046182632 0.19803297519683838 0.1922348141670227
rc25 M2.5e+07 L0.90 SNAP040 1.3020000457763672 1.2922148704528809 0.4431093633174896 1.2922148704528809 0.3429068922996521 0.09465504437685013 0.19330625236034393 0.18977390229701996
rc25 M2.5e+07 L0.90 SNAP050 1.6275001764297485 1.2922148704528809 0.5538867115974426 1.2922148704528809 0.4286336302757263 0.10678168386220932 0.2291150540113449 0.1793539971113205
rc25 M2.5e+07 L0.90 SNAP060 1.9530001878738403 1.2922148704528809 0.6646640300750732 1.2922148704528809 0.5143603682518005 0.11352518945932388 0.20124444365501404 0.18079662322998047
rc25 M2.5e+07 L0.90 SNAP070 2.2785000801086426 1.2922148704528809 0.7754414081573486 1.2922148704528809 0.60008704662323 0.14987339079380035 0.24320386350154877 0.21784049272537231
rc25 M2.5e+07 L0.90 SNAP080 2.6040000915527344 1.2922148704528809 0.8862187266349792 1.2922148704528809 0.6858137845993042 0.1785840541124344 0.28073257207870483 0.24704429507255554
rc25 M2.5e+07 L0.95 SNAP030 0.968713104724884 0.968713104724884 0.3176138997077942 1.5084965229034424 0.32787200808525085 0.0751572772860527 0.18895669281482697 0.19629716873168945
rc25 M2.5e+07 L0.95 SNAP040 1.2916173934936523 1.2916173934936523 0.4234851896762848 1.5084965229034424 0.32787200808525085 0.07265326380729675 0.17874521017074585 0.15903466939926147
rc25 M2.5e+07 L0.95 SNAP050 1.6145217418670654 1.5084965229034424 0.5293564796447754 1.5084965229034424 0.35091662406921387 0.10282604396343231 0.20834863185882568 0.18290282785892487
rc25 M2.5e+07 L0.95 SNAP060 1.9374260902404785 1.5084965229034424 0.6352277994155884 1.5084965229034424 0.4210999310016632 0.09916149824857712 0.1943093240261078 0.17772522568702698
rc25 M2.5e+07 L0.95 SNAP070 2.2603304386138916 1.5084965229034424 0.7410991191864014 1.5084965229034424 0.49128326773643494 0.10155875235795975 0.20660895109176636 0.17641258239746094
rc25 M2.5e+07 L0.95 SNAP080 2.5832347869873047 1.5084965229034424 0.8469703793525696 1.5084965229034424 0.5614665746688843 0.1567516326904297 0.24783070385456085 0.24142460525035858
rc45 M2.5e+06 L0.05 SNAP030 0.15504516661167145 0.04452203959226608 0.11872788518667221 0.04452203959226608 2.6667215824127197 0.04307134076952934 0.16159671545028687 0.09379840642213821
